iter	Passed	Remaining
0	60	60888
1	61	30682
2	61	20545
3	62	15478
4	62	12449
5	62	10430
6	63	8982
7	63	7890
8	63	7036
9	64	6354
10	64	5795
11	64	5342
12	65	4977
13	66	4651
14	66	4359
15	66	4100
16	66	3873
17	67	3668
18	67	3489
19	68	3344
20	68	3196
21	68	3060
22	69	2943
23	69	2831
24	69	2726
25	70	2632
26	70	2548
27	71	2465
28	71	2391
29	71	2319
30	72	2253
31	72	2191
32	72	2134
33	73	2077
34	73	2024
35	73	1977
36	74	1929
37	74	1885
38	74	1842
39	75	1802
40	75	1767
41	75	1730
42	76	1697
43	76	1664
44	77	1639
45	77	1611
46	78	1584
47	79	1571
48	79	1545
49	80	1526
50	80	1502
51	81	1480
52	81	1456
53	81	1433
54	82	1412
55	82	1392
56	82	1372
57	83	1352
58	83	1333
59	84	1316
60	84	1299
61	84	1284
62	85	1268
63	85	1251
64	86	1237
65	86	1222
66	86	1206
67	87	1194
68	87	1182
69	88	1171
70	88	1157
71	88	1145
72	89	1132
73	89	1122
74	90	1111
75	90	1100
76	90	1089
77	91	1080
78	91	1070
79	92	1060
80	92	1051
81	93	1045
82	93	1032
83	93	1023
84	94	1013
85	94	1004
86	94	994
87	95	985
88	95	977
89	95	969
90	96	960
91	96	952
92	96	944
93	98	945
94	98	937
95	98	929
96	99	921
97	99	916
98	100	910
99	100	903
100	100	897
101	101	891
102	101	885
103	102	879
104	102	872
105	102	867
106	103	861
107	103	855
108	103	849
109	104	843
110	104	838
111	105	833
112	105	828
113	106	824
114	106	820
115	106	815
116	107	810
117	107	805
118	108	801
119	108	797
120	109	792
121	109	786
122	109	782
123	110	778
124	110	774
125	110	769
126	111	764
127	111	761
128	112	757
129	112	753
130	112	749
131	113	744
132	113	741
133	114	740
134	114	736
135	115	733
136	115	729
137	116	725
138	116	721
139	116	716
140	117	713
141	117	708
142	117	705
143	118	701
144	118	697
145	118	694
146	119	691
147	119	687
148	119	684
149	120	682
150	120	679
151	121	677
152	121	674
153	122	671
154	122	668
155	123	666
156	123	663
157	124	661
158	124	659
159	124	655
160	125	652
161	125	649
162	125	646
163	126	642
164	126	639
165	126	636
166	126	633
167	127	630
168	127	627
169	128	626
170	128	622
171	128	620
172	129	617
173	129	614
174	129	611
175	130	608
176	130	605
177	130	603
178	131	601
179	131	598
180	131	595
181	131	593
182	132	591
183	132	589
184	133	586
185	133	585
186	134	584
187	134	582
188	135	580
189	135	578
190	136	576
191	136	574
192	137	573
193	137	573
194	138	571
195	138	569
196	139	567
197	139	565
198	140	564
199	140	561
200	140	560
201	141	557
202	141	555
203	141	554
204	142	552
205	142	549
206	143	548
207	143	546
208	143	544
209	144	542
210	144	540
211	145	539
212	145	538
213	146	537
214	146	535
215	147	534
216	147	533
217	148	531
218	148	530
219	149	528
220	149	527
221	149	525
222	150	524
223	150	522
224	151	521
225	151	519
226	152	518
227	152	516
228	152	514
229	153	513
230	153	511
231	154	510
232	154	508
233	155	507
234	155	505
235	155	504
236	156	502
237	156	500
238	156	499
239	156	497
240	157	496
241	158	496
242	159	496
243	159	494
244	160	493
245	161	493
246	161	492
247	161	490
248	162	489
249	162	487
250	162	486
251	163	484
252	163	482
253	164	481
254	164	480
255	164	478
256	165	477
257	165	475
258	165	474
259	166	472
260	166	471
261	166	469
262	167	468
263	167	467
264	168	466
265	168	465
266	168	463
267	169	462
268	169	461
269	170	459
270	170	458
271	171	458
272	171	456
273	172	456
274	172	455
275	172	453
276	173	452
277	173	450
278	173	449
279	174	448
280	174	447
281	175	445
282	175	444
283	175	443
284	176	442
285	176	440
286	176	439
287	177	438
288	178	438
289	178	437
290	179	436
291	179	435
292	179	434
293	180	432
294	180	431
295	180	430
296	181	429
297	181	427
298	182	426
299	182	425
300	182	424
301	183	423
302	183	422
303	183	421
304	184	419
305	184	418
306	184	417
307	185	416
308	185	415
309	186	414
310	186	413
311	186	412
312	187	411
313	187	409
314	187	408
315	188	407
316	188	406
317	189	405
318	189	405
319	190	405
320	191	404
321	191	403
322	192	402
323	192	401
324	192	400
325	193	399
326	193	399
327	194	397
328	194	396
329	195	396
330	195	395
331	195	394
332	196	393
333	196	392
334	197	391
335	197	390
336	198	389
337	198	389
338	199	388
339	199	387
340	199	386
341	200	385
342	200	384
343	201	383
344	201	382
345	201	381
346	202	380
347	202	379
348	203	379
349	203	378
350	204	377
351	205	377
352	205	376
353	206	376
354	206	375
355	207	374
356	207	373
357	207	372
358	207	371
359	208	370
360	208	369
361	209	368
362	209	367
363	209	366
364	210	365
365	210	364
366	210	363
367	211	362
368	211	362
369	212	361
370	212	360
371	212	359
372	213	358
373	213	357
374	214	357
375	214	356
376	215	355
377	215	354
378	215	353
379	216	352
380	216	352
381	216	350
382	217	350
383	217	349
384	218	348
385	218	347
386	219	347
387	219	346
388	220	345
389	220	345
390	221	344
391	221	343
392	221	342
393	222	341
394	222	340
395	222	339
396	223	339
397	223	338
398	224	337
399	224	337
400	225	336
401	225	335
402	226	335
403	226	334
404	226	333
405	227	332
406	227	331
407	227	330
408	228	329
409	228	329
410	228	328
411	229	327
412	229	326
413	229	325
414	230	324
415	230	324
416	231	323
417	231	322
418	231	321
419	232	320
420	232	319
421	232	319
422	233	318
423	233	317
424	234	316
425	234	315
426	234	315
427	235	314
428	235	313
429	236	312
430	236	312
431	236	311
432	237	310
433	237	309
434	238	310
435	239	309
436	239	308
437	239	307
438	240	306
439	240	306
440	240	305
441	241	304
442	241	303
443	242	303
444	242	302
445	242	301
446	243	301
447	243	300
448	243	299
449	244	298
450	244	298
451	245	297
452	245	296
453	245	295
454	246	295
455	246	294
456	247	293
457	247	292
458	247	292
459	248	291
460	248	290
461	248	289
462	249	288
463	249	288
464	249	287
465	250	286
466	250	286
467	251	285
468	251	284
469	251	283
470	252	283
471	252	282
472	252	281
473	253	280
474	253	280
475	253	279
476	254	278
477	254	277
478	254	277
479	255	276
480	255	275
481	255	275
482	256	274
483	256	273
484	256	272
485	257	272
486	257	271
487	257	270
488	258	269
489	258	269
490	258	268
491	259	267
492	259	267
493	260	266
494	260	265
495	260	264
496	261	264
497	261	263
498	261	262
499	262	262
500	262	261
501	262	260
502	263	260
503	263	259
504	264	258
505	264	258
506	264	257
507	265	256
508	265	256
509	265	255
510	266	254
511	266	254
512	266	253
513	267	252
514	267	251
515	267	251
516	268	250
517	268	249
518	268	249
519	269	248
520	269	248
521	270	247
522	270	246
523	271	246
524	271	245
525	271	244
526	272	244
527	272	243
528	272	242
529	273	242
530	273	241
531	273	240
532	274	240
533	274	239
534	275	239
535	275	238
536	276	237
537	276	237
538	276	236
539	277	236
540	277	235
541	278	235
542	278	234
543	279	234
544	279	233
545	279	232
546	280	232
547	280	231
548	281	231
549	281	230
550	281	229
551	282	229
552	282	228
553	282	227
554	283	227
555	283	226
556	283	225
557	284	225
558	284	224
559	285	224
560	285	223
561	285	222
562	286	222
563	286	221
564	287	221
565	287	220
566	287	219
567	288	219
568	288	218
569	289	218
570	289	217
571	289	216
572	290	216
573	290	215
574	290	215
575	291	214
576	291	213
577	292	213
578	292	212
579	292	212
580	293	211
581	293	210
582	294	210
583	294	209
584	295	209
585	295	208
586	296	208
587	296	207
588	296	207
589	297	206
590	297	206
591	298	205
592	298	204
593	298	204
594	299	203
595	299	203
596	300	202
597	300	201
598	300	201
599	301	200
600	301	200
601	301	199
602	302	198
603	302	198
604	303	197
605	303	197
606	303	196
607	304	196
608	304	195
609	305	195
610	305	194
611	306	194
612	306	193
613	306	192
614	307	192
615	307	191
616	307	191
617	308	190
618	308	189
619	308	189
620	309	188
621	309	188
622	310	187
623	310	187
624	310	186
625	311	186
626	311	185
627	312	184
628	312	184
629	312	183
630	313	183
631	313	182
632	313	181
633	314	181
634	314	180
635	315	180
636	315	180
637	316	179
638	316	179
639	317	178
640	317	177
641	317	177
642	318	176
643	319	176
644	319	175
645	320	175
646	320	174
647	320	174
648	321	173
649	321	173
650	322	172
651	322	172
652	323	171
653	323	171
654	323	170
655	324	170
656	324	169
657	324	168
658	325	168
659	325	167
660	326	167
661	326	166
662	326	166
663	327	165
664	327	164
665	327	164
666	328	163
667	328	163
668	328	162
669	329	162
670	329	161
671	330	161
672	330	160
673	331	160
674	331	159
675	331	159
676	332	158
677	332	157
678	332	157
679	332	156
680	333	156
681	334	155
682	334	155
683	334	154
684	335	154
685	335	153
686	336	153
687	336	152
688	336	151
689	337	151
690	337	151
691	338	150
692	338	150
693	339	149
694	339	148
695	339	148
696	340	147
697	340	147
698	340	146
699	341	146
700	341	145
701	341	145
702	342	144
703	342	144
704	342	143
705	343	142
706	343	142
707	343	141
708	344	141
709	344	140
710	345	140
711	345	139
712	345	139
713	346	138
714	346	138
715	347	137
716	347	137
717	347	136
718	348	136
719	348	135
720	348	135
721	349	134
722	349	134
723	350	133
724	350	132
725	350	132
726	351	131
727	351	131
728	351	130
729	352	130
730	352	129
731	353	129
732	353	128
733	354	128
734	354	127
735	354	127
736	355	126
737	355	126
738	355	125
739	356	125
740	356	124
741	357	124
742	357	123
743	358	123
744	358	122
745	359	122
746	359	121
747	359	121
748	360	120
749	360	120
750	361	119
751	361	119
752	362	118
753	362	118
754	363	117
755	363	117
756	364	116
757	364	116
758	364	115
759	365	115
760	365	114
761	366	114
762	366	113
763	366	113
764	367	112
765	367	112
766	368	111
767	369	111
768	369	111
769	369	110
770	370	110
771	370	109
772	371	108
773	371	108
774	371	107
775	372	107
776	372	106
777	373	106
778	373	106
779	374	105
780	374	105
781	374	104
782	375	104
783	375	103
784	376	103
785	376	102
786	376	102
787	377	101
788	377	101
789	378	100
790	378	100
791	378	99
792	379	98
793	379	98
794	380	98
795	380	97
796	380	97
797	381	96
798	381	96
799	382	95
800	382	95
801	383	94
802	384	94
803	384	93
804	385	93
805	385	92
806	386	92
807	386	91
808	386	91
809	387	90
810	387	90
811	388	89
812	388	89
813	389	88
814	389	88
815	389	87
816	390	87
817	391	87
818	391	86
819	392	86
820	392	85
821	392	85
822	393	84
823	393	84
824	394	83
825	394	83
826	395	82
827	395	82
828	395	81
829	396	81
830	396	80
831	397	80
832	397	79
833	398	79
834	398	78
835	398	78
836	399	77
837	399	77
838	399	76
839	400	76
840	400	75
841	401	75
842	401	74
843	401	74
844	402	73
845	402	73
846	402	72
847	403	72
848	403	71
849	403	71
850	404	70
851	404	70
852	405	69
853	405	69
854	405	68
855	406	68
856	406	67
857	406	67
858	407	66
859	407	66
860	408	65
861	408	65
862	408	64
863	409	64
864	409	63
865	409	63
866	410	62
867	410	62
868	410	61
869	411	61
870	411	60
871	411	60
872	412	59
873	412	59
874	413	59
875	413	58
876	413	58
877	414	57
878	414	57
879	415	56
880	415	56
881	416	55
882	416	55
883	416	54
884	417	54
885	417	53
886	417	53
887	418	52
888	418	52
889	419	51
890	419	51
891	419	50
892	420	50
893	420	49
894	420	49
895	421	48
896	421	48
897	421	47
898	422	47
899	422	46
900	423	46
901	423	46
902	423	45
903	424	45
904	424	44
905	425	44
906	426	43
907	426	43
908	426	42
909	427	42
910	427	41
911	427	41
912	428	40
913	428	40
914	428	39
915	429	39
916	429	38
917	430	38
918	430	37
919	431	37
920	431	37
921	431	36
922	432	36
923	432	35
924	432	35
925	433	34
926	433	34
927	434	33
928	434	33
929	434	32
930	435	32
931	435	31
932	436	31
933	436	30
934	436	30
935	437	29
936	437	29
937	438	28
938	438	28
939	439	28
940	439	27
941	439	27
942	440	26
943	440	26
944	440	25
945	441	25
946	441	24
947	441	24
948	442	23
949	442	23
950	443	22
951	443	22
952	444	21
953	444	21
954	444	20
955	445	20
956	445	20
957	446	19
958	447	19
959	447	18
960	448	18
